,NUMERO CLIENTE,Cuatrimestre,N° Factura,SKU,Cantidad,Precio Unitario,Tipo cbio. Prom.Mes,Kilos,USD TC Prom.Mes,Rubro,Provincia,Condición de pago,Devoluciones,Kilos_Promedio,Kilos_Maximo,Kilos_Minimo,Frecuencia,USD/Ton,Indice devoluciones,Target
157,6.0,16,145,30,1468521.0,17.48372413793103,69.59588931034484,161587.50514579995,220574.31200163998,Bebidas,San Juan,45.0,0,1114.3965872124134,7963.8606,43.9968,4,1401.861162460917,0.0,0
158,6.0,17,156,28,1606720.0,17.682756410256395,71.25751474359002,174836.8975418,238266.35234574004,Bebidas,San Juan,45.0,0,1120.7493432166666,7963.8606,43.9968,4,1364.1198035862133,0.0,0
159,6.0,18,169,28,1816892.0,16.456390532544372,71.95914733727841,175137.83771639995,238435.45640494002,Bebidas,San Juan,45.0,0,1036.3185663692304,4732.8456,43.9968,4,1365.7164764446866,0.0,0
160,6.0,19,177,30,2030087.0,16.43446327683619,73.93990112994365,184284.70804079983,254383.42263439996,Bebidas,San Juan,45.0,0,1041.156542603389,5442.6384,97.8252,4,1389.7518120201146,0.0,0
161,6.0,20,141,32,1812951.0,16.53312056737589,76.54846312056746,145393.25334879995,203842.20974315002,Bebidas,San Juan,45.0,1,1031.157825168794,5442.6384,-57.48,4,1417.999982927743,0.0070921985815602835,0
175,7.0,14,3,3,6240.0,23.366666666666664,67.7284,2052.8399759999998,2151.2984213,Productos Lacteos,Entre Rios,30.0,0,684.2799919999999,757.587168,567.701952,1,1058.5961955914327,0.0,0
176,7.0,15,3,3,6240.0,23.366666666666664,67.7284,2052.8399759999998,2151.2984213,Productos Lacteos,Entre Rios,30.0,0,684.2799919999999,757.587168,567.701952,1,1058.5961955914327,0.0,0
177,7.0,16,3,3,6240.0,23.366666666666664,67.7284,2052.8399759999998,2151.2984213,Productos Lacteos,Entre Rios,30.0,0,684.2799919999999,757.587168,567.701952,1,1058.5961955914327,0.0,0
178,7.0,17,3,3,6240.0,23.366666666666664,67.7284,2052.8399759999998,2151.2984213,Productos Lacteos,Entre Rios,30.0,0,684.2799919999999,757.587168,567.701952,1,1058.5961955914327,0.0,0
179,7.0,20,2,2,4800.0,24.0,79.9411,1387.65744,1441.0609811999998,Productos Lacteos,Entre Rios,30.0,0,693.82872,851.552928,536.104512,1,1045.2867322631803,0.0,0
204,9.0,1,16,7,10724.0,620.0303333333333,39.61760833333334,77197.77279999999,130249.91029009997,Alimentos,Buenos Aires,15.0,0,2573.259093333333,5265.4568,256.2,4,1682.1288309339193,0.0,0
205,9.0,2,18,7,10744.0,749.56,41.47831774193551,85454.87729999998,151442.2630579,Productos agricolas y frescos,Buenos Aires,15.0,0,2756.6089451612897,5265.4568,256.2,4,1880.2198241032497,0.0,0
206,9.0,3,15,6,9850.0,819.2699999999999,42.949000000000005,78705.6583,145802.9916213,Alimentos,Buenos Aires,15.0,0,2810.9163678571426,5265.4568,256.2,4,2070.6131404599873,0.0,0
207,9.0,4,15,6,9450.0,938.3615384615385,43.388115384615375,76756.84599999999,154343.53070300003,Productos agricolas y frescos,Buenos Aires,15.0,0,2952.186384615384,5265.4568,256.2,4,2344.6184525302083,0.0,0
208,9.0,5,16,5,13260.0,1041.0062068965517,45.86836551689657,96298.32082000004,188108.94640770002,Productos agricolas y frescos,Buenos Aires,15.0,0,3320.6317524137944,5265.45682,256.2,4,2295.4802554346816,0.0,0
209,9.0,6,14,4,12040.0,1068.2426923076923,48.21079615346151,84997.88511999999,164266.16667910002,Productos agricolas y frescos,Buenos Aires,15.0,0,3269.149427692307,5265.45682,512.4,4,2183.1359428417436,0.0,0
210,9.0,7,17,5,9900.0,1070.7836666666665,52.54998333300003,86599.86408000001,168550.03464130004,Productos agricolas y frescos,Buenos Aires,15.0,1,2886.6621360000004,5265.45682,-4656.34656,4,2230.782699204605,0.058823529411764705,0
211,9.0,8,17,6,10610.0,995.8489705882353,57.43538529382355,89089.28067700005,160873.0874338791,Alimentos,Buenos Aires,15.0,1,2620.2729610882366,5265.45682,-4656.34656,4,2046.7840143982908,0.058823529411764705,0
212,9.0,9,15,6,7860.0,850.9241176470586,58.934902941176496,67702.79403599999,126625.83336486903,Productos agricolas y frescos,Buenos Aires,15.0,1,1991.2586481176468,5265.45682,-4656.34656,4,2202.1098929143895,0.06666666666666667,0
213,9.0,10,16,6,9270.0,839.4663157894735,59.51481315789477,61000.56703599999,139576.26539366902,Productos agricolas y frescos,Buenos Aires,15.0,1,1605.2780798947367,5265.45682,-4656.34656,4,2653.490861495393,0.0625,0
214,9.0,11,13,6,10660.0,744.1664705882351,60.12636764705885,45607.377276,113189.28147788902,Productos agricolas y frescos,Buenos Aires,15.0,1,1341.3934492941175,5265.45682,-32.5958,4,2750.770725401274,0.07692307692307693,0
215,9.0,12,12,5,8990.0,844.6723214285715,60.93205357142858,27451.645479000017,105847.91973531002,Productos agricolas y frescos,Buenos Aires,15.0,1,980.4159099642864,1796.8467,-32.5958,4,3317.647295549659,0.08333333333333333,0
216,9.0,13,18,5,9310.0,1138.9048484848486,62.91333636363638,35460.024400000024,152772.00506462,Productos agricolas y frescos,Buenos Aires,15.0,2,1074.5461939393947,1796.8467,-517.3718,4,3582.975324845405,0.1111111111111111,0
217,9.0,14,19,5,8060.0,1214.1799999999998,64.84342580645162,33205.56290200001,144746.80684891995,Alimentos,Buenos Aires,15.0,3,1071.1471903870972,1796.8467,-517.37184,4,3643.840769467373,0.15789473684210525,0
218,9.0,15,21,4,9320.0,1341.3412121212111,66.61663030303029,39612.391079,171638.48722369998,Productos agricolas y frescos,Buenos Aires,15.0,2,1200.3754872424242,1796.8467,-517.37184,4,3673.910366248228,0.09523809523809523,0
